date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-07-31,5.7897,5.93,5.76,5.9,4654669,28.9485,29.65,28.8,29.5,930933,0.0,1.0
2024-08-01,5.62,5.76,5.52,5.73,42822504,28.1,28.8,27.6,28.65,8564500,0.0,1.0
2024-08-02,5.56,5.81,5.5301,5.75,12062755,27.8,29.05,27.6505,28.75,2412551,0.0,1.0
2024-08-05,4.75,4.93,4.4,4.41,15705670,23.75,24.65,22.0,22.05,3141134,0.0,1.0
2024-08-06,5.05,5.07,4.83,4.9,8450718,25.25,25.35,24.15,24.5,1690143,0.0,1.0
2024-08-07,4.86,5.1099,4.85,5.09,6339571,24.3,25.5495,24.25,25.45,1267914,0.0,1.0
2024-08-08,5.27,5.315,5.0401,5.13,4888823,26.35,26.575,25.2005,25.65,977764,0.0,1.0
2024-08-09,5.38,5.425,5.288,5.37,6640281,26.9,27.125,26.44,26.85,1328056,0.0,1.0
2024-08-12,5.24,5.385,5.13,5.29,3755995,26.2,26.925,25.65,26.45,751199,0.0,1.0
2024-08-13,5.41,5.465,5.22,5.23,5349902,27.05,27.325,26.1,26.15,1069980,0.0,1.0
2024-08-14,5.22,5.4099,5.2061,5.39,4994680,26.1,27.0495,26.0305,26.95,998936,0.0,1.0
2024-08-15,5.07,5.31,5.03,5.25,6240401,25.35,26.55,25.15,26.25,1248080,0.0,1.0
2024-08-16,5.29,5.32,5.1198,5.2,4314862,26.45,26.6,25.599,26.0,862972,0.0,1.0
2024-08-19,5.24,5.2601,5.15,5.22,3103362,26.2,26.3005,25.75,26.1,620672,0.0,1.0
2024-08-20,5.28,5.41,5.195,5.37,4235703,26.4,27.05,25.975,26.85,847140,0.0,1.0
2024-08-21,5.47,5.47,5.2237,5.27,7710726,27.35,27.35,26.1185,26.35,1542145,0.0,1.0
2024-08-22,5.34,5.4059,5.33,5.4,5291001,26.7,27.0295,26.65,27.0,1058200,0.0,1.0
2024-08-23,5.65,5.6699,5.395,5.43,12388163,28.25,28.3495,26.975,27.15,2477632,0.0,1.0
2024-08-26,5.61,5.67,5.59,5.67,6209049,28.05,28.35,27.95,28.35,1241809,0.0,1.0
2024-08-27,5.51,5.5495,5.45,5.53,6943145,27.55,27.7475,27.25,27.65,1388629,0.0,1.0
2024-08-28,5.23,5.325,5.13,5.32,12701042,26.15,26.625,25.65,26.6,2540208,0.0,1.0
2024-08-29,5.25,5.4284,5.224,5.34,7080446,26.25,27.142,26.12,26.7,1416089,0.0,1.0
2024-08-30,5.2,5.3056,5.12,5.28,8276992,26.0,26.528,25.6,26.4,1655398,0.0,1.0
2024-09-03,5.15,5.25,5.1,5.24,5396131,25.75,26.25,25.5,26.2,1079226,0.0,1.0
2024-09-04,5.15,5.19,4.9737,5.01,6027070,25.75,25.95,24.8685,25.05,1205414,0.0,1.0
2024-09-05,4.97,5.08,4.94,5.02,10241738,24.85,25.4,24.7,25.1,2048347,0.0,1.0
2024-09-06,4.75,5.04,4.72,5.02,10021411,23.75,25.2,23.6,25.1,2004282,0.0,1.0
2024-09-09,5.07,5.075,4.855,4.91,7264231,25.35,25.375,24.275,24.55,1452846,0.0,1.0
2024-09-10,5.14,5.15,5.01,5.05,6135963,25.7,25.75,25.05,25.25,1227192,0.0,1.0
